time [s],voltage [V],current [...],temperature_A [K],temperature_B [K]
0.0,3.514724,+33.9489E-03NADC,294,294
1.1312615871429443,3.514113,+33.9457E-03NADC,294,294
2.1317050457000732,3.513755,+33.9431E-03NADC,294,294
2.7103676795959473,3.513406,+33.9396E-03NADC,294,294
3.3114469051361084,3.513054,+33.9368E-03NADC,294,294
3.9111506938934326,3.512705,+33.9369E-03NADC,294,294
4.511659622192383,3.512633,+33.9354E-03NADC,294,294
5.111095428466797,3.512394,+33.9336E-03NADC,294,294
5.73008918762207,3.51215,+33.9322E-03NADC,294,294
6.33134913444519,3.511897,+33.9304E-03NADC,294,294
6.930921316146851,3.511682,+33.9302E-03NADC,294,294
7.530969619750977,3.510042,+33.9088E-03NADC,294,294
8.131809949874878,3.509626,+33.9076E-03NADC,294,294
8.730527400970459,3.509268,+33.9050E-03NADC,294,294
9.33166766166687,3.509056,+33.8978E-03NADC,294,294
9.930919170379639,3.508323,+33.8924E-03NADC,294,294
